group,name,log2FC,FDR
EOAD,MT3,0.0325536758325811,0.848182285924621
EOAD,NFASC,-0.178677740075129,0.211751841096271
EOAD,ALDOA,0.54405819965042,0.131865581356783
EOAD,LSAMP,-0.121477805249784,0.244888354116801
EOAD,PARK7,0.148376426613341,0.303180977539774
EOAD,YWHAZ,0.851541792539095,0.0192288530205769
EOAD,CXCL16,0.150832074208277,0.401883582636845
EOAD,SELENBP1,-0.118684893182239,0.509926004481828
EOAD,PROCR,0.159868009248921,0.598639458632508
EOAD,NCAN,-0.107468157269217,0.631146918171279
EOAD,NICOL1,-0.206601415789128,0.250396553580068
EOAD,DPP7,-0.0766755577196996,0.795623081929365
EOAD,ICOSLG,-0.167530186152458,0.231730586442601
EOAD,PAPLN,0.0261935443537791,0.868050051626859
EOAD,FOLR2,-0.114068898732556,0.520855548262336
EOAD,GC,0.348687405367794,0.244309825422506
EOAD,HBA1,2.54942538699969,0.189701282768126
EOAD,IGLV3-19,0.373630276456833,0.439089440775495
EOAD,FBLN5,-0.0622242491381098,0.619585726549682
EOAD,LAMP2,0.0067713493074208,0.968096825099169
EOAD,NUCB2,0.0030728142448381,0.990649244145468
EOAD,PDGFB,0.0034027312161315,0.993564565606582
EOAD,ITIH2,0.586642897998827,0.23096129914898
EOAD,CSF1R,0.0526432367671408,0.727411255204692
EOAD,PGLYRP2,0.372301759078831,0.358749911739101
EOAD,IGHM,0.563860542140796,0.426396884923347
EOAD,LAMA2,0.0788396667381441,0.315553880424437
EOAD,APLP2,-0.136623027118793,0.4284750795659
EOAD,AGA,0.0828508883605492,0.795623081929365
EOAD,CFI,0.334741573121015,0.23096129914898
EOAD,CD44,0.148032747498259,0.392979544453464
EOAD,IGSF8,-0.0138286550689699,0.767682312003209
EOAD,CNTNAP4,-0.0949635793542996,0.677042411523753
EOAD,C1QC,0.1573786265509,0.179320701668781
EOAD,C1R,0.0406438155230635,0.722993947569833
EOAD,CPN2,0.498219934270108,0.23096129914898
EOAD,AMBP,0.413769530824664,0.250396553580068
EOAD,C5,0.510784748305939,0.198321867254426
EOAD,HEXA,-0.0735778076639413,0.619585726549682
EOAD,DBI,0.140212594778005,0.41798788651348
EOAD,C1QA,0.0723665091601413,0.559534533532764
EOAD,NRXN3,-0.231936225130919,0.151503701098424
EOAD,IGHV3-30,0.270260417078568,0.51714688131517
EOAD,C6,0.543581270373846,0.117322961722042
EOAD,CLEC3B,0.18933535606563,0.131865581356783
EOAD,SPARCL1,-0.133437647149606,0.458688749864043
EOAD,GAP43,0.301604754450673,0.0275384874999853
EOAD,MCAM,-0.121242209108164,0.308023829033728
EOAD,SCG2,-0.417832572394573,0.0799932359889286
